,"CD_i_SIG","CD_i_TILE","CD_ni_SIG","CD_ni_TILE","Ctrl_ni_SIG","Ctrl_ni_TILE","DC_i_SIG","DC_i_TILE","DC_ni_SIG","DC_ni_TILE","UC_i_SIG","UC_i_TILE","UC_ni_SIG","UC_ni_TILE"
5049,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132158,0,1,0,1,0,1,0,1,0,1,0,1,0,1
5162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8309,0,0,0,1,0,1,0,0,0,1,0,0,0,1
123099,0,1,0,1,0,1,0,0,0,1,0,1,0,1
4725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10768,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766,1,0,1,0,1,0,1,0,1,0,1,0,1,0
7386,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10555,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7360,1,0,1,0,1,0,1,0,1,0,1,0,1,0
686,0,0,0,1,0,1,0,0,0,1,0,1,0,1
2990,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2720,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10678,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7779,0,0,0,0,0,1,0,0,0,1,0,0,0,1
9963,0,1,0,1,0,1,0,1,0,1,0,1,0,1
79071,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195814,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90161,1,1,1,0,1,0,1,1,1,0,1,1,1,0
883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64080,0,0,0,1,0,1,0,0,0,1,0,0,0,1
7364,0,1,0,1,0,1,0,1,0,1,0,1,0,1
2110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2628,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682,1,0,1,0,1,0,1,0,1,0,1,0,1,0
55304,0,0,0,1,0,1,0,0,0,1,0,0,0,1
8801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134526,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8824,0,0,0,1,0,1,0,0,0,1,0,0,0,1
130,0,0,0,1,0,1,0,0,0,1,0,0,0,1
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2745,0,0,0,1,0,1,0,0,0,1,0,0,0,1
6573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162466,0,1,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340024,0,1,0,1,0,1,0,1,0,1,0,1,0,1
6578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51301,0,1,0,1,0,1,0,1,0,1,0,1,0,1
6470,0,1,0,1,0,1,0,1,0,1,0,1,0,1
374907,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79751,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2629,0,0,0,0,0,0,0,0,0,0,0,0,0,0
